size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
l,same_costs,0.5,9,early,2,19,9,7,7/9,0.78,1026,4695,4695.0,5721.0,32.688397750025615,960.0
l,same_costs,0.5,9,middle,2,19,9,9,9/9,1.0,1202,5485,5485.0,6687.0,1.0975701669231055,593.0
l,same_costs,0.5,9,late,2,19,9,9,9/9,1.0,1157,4295,4295.0,5452.0,0.5430120000382885,37.0
l,same_costs,0.5,10,early,2,20,10,10,10/10,1.0,1325,9292,9292.0,10617.0,1.1697613330325112,1404.0
l,same_costs,0.5,10,middle,2,20,10,10,10/10,1.0,1385,8175,8175.0,9560.0,0.6900530419079587,1065.0
l,same_costs,0.5,10,late,2,20,10,10,10/10,1.0,1356,5182,5182.0,6538.0,0.5699005830101669,0.0
l,same_costs,0.5,11,early,2,17,9,7,7/9,0.78,1009,3733,3733.0,4742.0,34.95666008407716,758.0
l,same_costs,0.5,11,middle,2,17,9,9,9/9,1.0,1135,3629,3629.0,4764.0,0.7072300830623135,36.0
l,same_costs,0.5,11,late,2,17,9,9,9/9,1.0,1198,3505,3505.0,4703.0,0.8475260409759358,0.0
l,same_costs,0.5,12,early,2,15,7,6,6/7,0.86,847,3210,3210.0,4057.0,2.491449333028868,384.0
l,same_costs,0.5,12,middle,2,15,7,7,7/7,1.0,913,3223,3223.0,4136.0,0.7891498750541359,296.0
l,same_costs,0.5,12,late,2,15,7,7,7/7,1.0,966,2380,2380.0,3346.0,0.324224041076377,0.0
l,same_costs,0.5,13,early,2,20,10,10,10/10,1.0,1148,6205,6205.0,7353.0,1.5268102909903971,451.0
l,same_costs,0.5,13,middle,2,20,10,10,10/10,1.0,1169,5043,5043.0,6212.0,1.25601454207208,183.0
l,same_costs,0.5,14,middle,2,20,10,10,10/10,1.0,1080,4703,4703.0,5783.0,0.7698629159713164,95.0
l,same_costs,0.5,14,late,2,20,10,10,10/10,1.0,1172,3388,3388.0,4560.0,0.4306083749979734,0.0
l,same_costs,0.5,15,middle,2,15,7,7,7/7,1.0,772,2760,2760.0,3532.0,0.7285778749501333,216.0
l,same_costs,0.5,15,late,2,15,7,7,7/7,1.0,765,1163,1163.0,1928.0,0.2930604160064831,0.0
l,same_costs,0.5,16,early,2,17,9,7,7/9,0.78,885,2647,2647.0,3532.0,31.130720165907405,275.0
l,same_costs,0.5,16,middle,2,17,9,9,9/9,1.0,1041,2445,2445.0,3486.0,0.418236416997388,0.0
l,same_costs,0.5,16,late,2,17,9,9,9/9,1.0,1161,2240,2240.0,3401.0,0.4062027080217376,0.0
l,same_costs,0.5,17,early,2,20,10,7,7/10,0.7,917,3637,3637.0,4554.0,139.2150867920136,680.0
l,same_costs,0.5,17,late,2,20,10,10,10/10,1.0,1096,3510,3510.0,4606.0,0.3923860000213608,0.0
l,same_costs,0.5,18,early,2,17,9,4,4/9,0.44,662,1721,1721.0,2383.0,34.48203891701996,243.0
l,same_costs,0.5,18,middle,2,17,9,9,9/9,1.0,945,2676,2676.0,3621.0,0.8309751250781119,43.0
l,same_costs,0.5,18,late,2,17,9,9,9/9,1.0,947,2421,2421.0,3368.0,0.4301340419333428,0.0
l,same_costs,0.5,19,early,2,15,7,7,7/7,1.0,1059,5055,5055.0,6114.0,1.3182177500566468,572.0
l,same_costs,0.5,19,middle,2,15,7,7,7/7,1.0,1057,4319,4319.0,5376.0,1.0263430420309303,311.0
l,same_costs,0.5,19,late,2,15,7,7,7/7,1.0,1089,2915,2915.0,4004.0,0.7743297920096666,6.0
l,same_costs,0.5,20,early,2,16,8,4,4/8,0.5,690,2763,2763.0,3453.0,19.51353754196316,425.0
l,same_costs,0.5,20,middle,2,16,8,8,8/8,1.0,784,2308,2308.0,3092.0,0.6422284999862313,-36.0
l,same_costs,0.5,20,late,2,16,8,8,8/8,1.0,864,1816,1816.0,2680.0,0.3563457500422373,0.0
