size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
m,same_costs,0.2,10,middle,2,10,5,5,5/5,1.0,480,810,810.0,1290.0,4.9285192909883335,31.0
m,same_costs,0.2,10,late,2,10,5,5,5/5,1.0,467,539,539.0,1006.0,4.848231374984607,0.0
m,same_costs,0.2,11,early,2,8,4,4,4/4,1.0,458,846,846.0,1304.0,4.770312125096098,-5.0
m,same_costs,0.2,11,middle,2,8,4,3,3/4,0.75,419,463,463.0,882.0,16.02094608300831,47.0
m,same_costs,0.2,11,late,2,8,4,4,4/4,1.0,492,376,376.0,868.0,4.664430082892068,0.0
m,same_costs,0.2,12,early,2,10,5,2,2/5,0.4,421,868,868.0,1289.0,40.89542391698342,30.0
m,same_costs,0.2,12,middle,2,10,5,3,3/5,0.6,447,828,828.0,1275.0,17.465735749923624,36.0
m,same_costs,0.2,12,late,2,10,5,5,5/5,1.0,544,582,582.0,1126.0,4.941821749904193,0.0
m,same_costs,0.2,13,early,2,9,5,2,2/5,0.4,298,293,293.0,591.0,17.64663520792965,0.0
m,same_costs,0.2,13,middle,2,9,5,5,5/5,1.0,424,482,482.0,906.0,4.049088916974142,0.0
m,same_costs,0.2,13,late,2,9,5,5,5/5,1.0,455,463,463.0,918.0,4.159136540954933,4.0
m,same_costs,0.2,14,early,2,8,4,4,4/4,1.0,497,1071,1071.0,1568.0,5.51424212497659,-167.0
m,same_costs,0.2,14,middle,2,8,4,4,4/4,1.0,499,763,763.0,1262.0,5.283083457965404,-167.0
m,same_costs,0.2,14,late,2,8,4,4,4/4,1.0,574,700,700.0,1274.0,5.546683291904628,0.0
m,same_costs,0.2,15,early,2,8,4,4,4/4,1.0,486,967,967.0,1453.0,4.7083919160068035,30.0
m,same_costs,0.2,15,middle,2,8,4,4,4/4,1.0,478,727,727.0,1205.0,4.63338858296629,6.0
m,same_costs,0.2,15,late,2,8,4,4,4/4,1.0,522,444,444.0,966.0,4.536420917022042,0.0
m,same_costs,0.2,16,early,2,8,4,4,4/4,1.0,486,788,788.0,1274.0,4.376309915911406,0.0
m,same_costs,0.2,16,middle,2,8,4,4,4/4,1.0,479,503,503.0,982.0,3.737728124950081,6.0
m,same_costs,0.2,16,late,2,8,4,4,4/4,1.0,496,487,487.0,983.0,3.784945458057337,0.0
m,same_costs,0.2,17,early,2,9,5,5,5/5,1.0,413,800,800.0,1213.0,4.421730958973058,12.0
m,same_costs,0.2,17,middle,2,9,5,5,5/5,1.0,380,563,563.0,943.0,4.24302641605027,-45.0
m,same_costs,0.2,17,late,2,9,5,5,5/5,1.0,452,353,353.0,805.0,4.310745749971829,0.0
m,same_costs,0.2,18,early,2,8,4,3,3/4,0.75,505,966,966.0,1471.0,12.790137541946024,0.0
m,same_costs,0.2,18,middle,2,8,4,4,4/4,1.0,529,982,982.0,1511.0,5.342049541999586,0.0
m,same_costs,0.2,18,late,2,8,4,4,4/4,1.0,535,529,529.0,1064.0,4.966622749925591,0.0
m,same_costs,0.2,19,early,2,8,4,4,4/4,1.0,467,710,710.0,1177.0,4.381035292055458,-46.0
m,same_costs,0.2,19,middle,2,8,4,4,4/4,1.0,418,427,427.0,845.0,4.156868208898231,-44.0
m,same_costs,0.2,19,late,2,8,4,4,4/4,1.0,480,376,376.0,856.0,4.271523291012272,0.0
m,same_costs,0.2,20,early,2,9,5,1,1/5,0.2,310,242,242.0,552.0,10.732777583994904,17.0
m,same_costs,0.2,20,middle,2,9,5,2,2/5,0.4,420,416,416.0,836.0,13.305888124974445,0.0
m,same_costs,0.2,20,late,2,9,5,5,5/5,1.0,573,552,552.0,1125.0,4.760629708995111,0.0
m,same_costs,0.5,1,early,2,7,3,2,2/3,0.67,230,191,191.0,421.0,7.932925458997488,36.0
m,same_costs,0.5,1,middle,2,7,3,3,3/3,1.0,260,423,423.0,683.0,3.539276749943383,30.0
m,same_costs,0.5,1,late,2,7,3,3,3/3,1.0,260,155,155.0,415.0,2.7213698329869658,0.0
m,same_costs,0.5,2,early,2,8,4,4,4/4,1.0,543,1163,1163.0,1706.0,5.478251833003014,42.0
m,same_costs,0.5,2,middle,2,8,4,4,4/4,1.0,509,908,908.0,1417.0,5.0877869999967515,119.0
m,same_costs,0.5,2,late,2,8,4,4,4/4,1.0,538,635,635.0,1173.0,5.118062249966897,0.0
m,same_costs,0.5,3,early,2,8,4,3,3/4,0.75,308,608,608.0,916.0,21.08456508303061,64.0
m,same_costs,0.5,3,middle,2,8,4,4,4/4,1.0,425,519,519.0,944.0,4.071883957949467,0.0
m,same_costs,0.5,3,late,2,8,4,4,4/4,1.0,401,381,381.0,782.0,3.8476317909080535,0.0
m,same_costs,0.5,4,early,2,8,4,4,4/4,1.0,447,974,974.0,1421.0,4.652067332994193,50.0
m,same_costs,0.5,4,middle,2,8,4,4,4/4,1.0,443,918,918.0,1361.0,4.27652404201217,66.0
m,same_costs,0.5,4,late,2,8,4,4,4/4,1.0,440,393,393.0,833.0,4.2237932089483365,0.0
m,same_costs,0.5,5,early,2,8,4,4,4/4,1.0,511,966,966.0,1477.0,4.976367917028256,53.0
m,same_costs,0.5,5,middle,2,8,4,4,4/4,1.0,531,828,828.0,1359.0,4.932141500059515,37.0
m,same_costs,0.5,5,late,2,8,4,4,4/4,1.0,524,522,522.0,1046.0,4.911170999985188,5.0
m,same_costs,0.5,6,early,2,7,3,3,3/3,1.0,373,609,609.0,982.0,3.951454332913272,64.0
m,same_costs,0.5,6,middle,2,7,3,2,2/3,0.67,364,324,324.0,688.0,10.69571929203812,49.0
