size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,same_costs,0.2,5,late,2,3,1,1,1/1,1.0,177,22,22.0,199.0,1.454600042081438,0.0
s,same_costs,0.2,6,early,2,3,1,1,1/1,1.0,106,5,5.0,111.0,1.1743335409555584,0.0
s,same_costs,0.2,6,middle,2,3,1,1,1/1,1.0,132,0,0.0,132.0,1.2889610420679674,0.0
s,same_costs,0.2,6,late,2,3,1,1,1/1,1.0,143,0,0.0,143.0,1.3005803329870105,0.0
s,same_costs,0.2,7,early,2,3,1,0,0/1,0.0,245,83,83.0,328.0,2.364435375086032,0.0
s,same_costs,0.2,7,middle,2,3,1,1,1/1,1.0,331,146,146.0,477.0,2.3747483749175444,0.0
s,same_costs,0.2,7,late,2,3,1,1,1/1,1.0,339,83,83.0,422.0,2.452923166914843,0.0
s,same_costs,0.2,8,early,2,5,3,2,2/3,0.67,207,203,203.0,410.0,4.261988583020866,5.0
s,same_costs,0.2,8,middle,2,5,3,2,2/3,0.67,207,96,96.0,303.0,5.817585958051495,5.0
s,same_costs,0.2,8,late,2,5,3,3,3/3,1.0,253,114,114.0,367.0,2.1764048339100555,0.0
s,same_costs,0.2,9,early,2,4,2,1,1/2,0.5,191,0,0.0,191.0,3.842201540945098,0.0
s,same_costs,0.2,9,middle,2,4,2,2,2/2,1.0,236,24,24.0,260.0,2.1075403339928016,0.0
s,same_costs,0.2,9,late,2,4,2,2,2/2,1.0,259,86,86.0,345.0,2.0470473339082673,0.0
s,same_costs,0.2,10,early,2,3,1,0,0/1,0.0,122,55,55.0,177.0,1.6144783329218626,0.0
s,same_costs,0.2,10,middle,2,3,1,1,1/1,1.0,178,72,72.0,250.0,1.6902961670421064,0.0
s,same_costs,0.2,10,late,2,3,1,1,1/1,1.0,197,55,55.0,252.0,1.6559187500970438,0.0
