size,instance,path,status,nb_orders,nb_jobs,cmax,total_delay,computation_time_sec,error
m,instance_9.json,data/orders_instances/test/m/instance_9.json,OK,3,12,331,310,0.08907345798797905,
l,instance_1.json,data/orders_instances/test/l/instance_1.json,OK,3,18,378,525,0.0931010419735685,
l,instance_10.json,data/orders_instances/test/l/instance_10.json,OK,3,18,434,949,0.23282058298354968,
l,instance_11.json,data/orders_instances/test/l/instance_11.json,OK,3,12,486,737,0.18252316600410268,
l,instance_12.json,data/orders_instances/test/l/instance_12.json,OK,3,15,295,451,0.10211549996165559,
l,instance_13.json,data/orders_instances/test/l/instance_13.json,OK,3,15,371,755,0.1457198330317624,
l,instance_14.json,data/orders_instances/test/l/instance_14.json,OK,3,15,477,794,0.12302220799028873,
l,instance_15.json,data/orders_instances/test/l/instance_15.json,OK,3,15,331,401,0.09919637499842793,
l,instance_16.json,data/orders_instances/test/l/instance_16.json,OK,3,12,409,598,0.1400071670068428,
l,instance_17.json,data/orders_instances/test/l/instance_17.json,OK,3,12,563,1035,0.1795721249654889,
l,instance_18.json,data/orders_instances/test/l/instance_18.json,OK,3,18,361,487,0.22851245803758502,
l,instance_19.json,data/orders_instances/test/l/instance_19.json,OK,3,12,410,482,0.09725191601319239,
l,instance_2.json,data/orders_instances/test/l/instance_2.json,OK,3,18,374,569,0.1817487080115825,
l,instance_20.json,data/orders_instances/test/l/instance_20.json,OK,3,12,441,858,0.18615366698941216,
l,instance_21.json,data/orders_instances/test/l/instance_21.json,OK,3,15,376,318,0.07355999998981133,
l,instance_22.json,data/orders_instances/test/l/instance_22.json,OK,3,12,352,448,0.08861608302686363,
l,instance_23.json,data/orders_instances/test/l/instance_23.json,OK,3,12,267,188,0.06453070900170133,
l,instance_24.json,data/orders_instances/test/l/instance_24.json,OK,3,18,246,352,0.11225800000829622,
l,instance_25.json,data/orders_instances/test/l/instance_25.json,OK,3,15,468,1146,0.16709858301328495,
l,instance_26.json,data/orders_instances/test/l/instance_26.json,OK,3,15,363,647,0.18176666705403477,
l,instance_27.json,data/orders_instances/test/l/instance_27.json,OK,3,15,443,683,0.14162733301054686,
l,instance_28.json,data/orders_instances/test/l/instance_28.json,OK,3,15,237,239,0.09910358401248232,
l,instance_29.json,data/orders_instances/test/l/instance_29.json,OK,3,12,404,662,0.12754812504863366,
l,instance_3.json,data/orders_instances/test/l/instance_3.json,OK,3,12,361,569,0.0969952919986099,
l,instance_30.json,data/orders_instances/test/l/instance_30.json,OK,3,15,320,401,0.1103195000323467,
l,instance_31.json,data/orders_instances/test/l/instance_31.json,OK,3,15,420,573,0.1266860410105437,
l,instance_32.json,data/orders_instances/test/l/instance_32.json,OK,3,18,447,949,0.18687091703759506,
l,instance_33.json,data/orders_instances/test/l/instance_33.json,OK,3,12,427,468,0.09555029100738466,
l,instance_34.json,data/orders_instances/test/l/instance_34.json,OK,3,18,295,281,0.09565924998605624,
l,instance_35.json,data/orders_instances/test/l/instance_35.json,OK,3,12,256,193,0.04604579199803993,
l,instance_36.json,data/orders_instances/test/l/instance_36.json,OK,3,12,305,411,0.08373016695259139,
l,instance_37.json,data/orders_instances/test/l/instance_37.json,OK,3,12,262,248,0.09305737499380484,
l,instance_38.json,data/orders_instances/test/l/instance_38.json,OK,3,12,370,548,0.10590379196219146,
l,instance_39.json,data/orders_instances/test/l/instance_39.json,OK,3,12,390,471,0.14930908399401233,
l,instance_4.json,data/orders_instances/test/l/instance_4.json,OK,3,18,565,1220,0.22696529200766236,
l,instance_40.json,data/orders_instances/test/l/instance_40.json,OK,3,12,383,448,0.09454570896923542,
l,instance_41.json,data/orders_instances/test/l/instance_41.json,OK,3,12,424,377,0.09937295800773427,
l,instance_42.json,data/orders_instances/test/l/instance_42.json,OK,3,12,381,420,0.08458450000034645,
l,instance_43.json,data/orders_instances/test/l/instance_43.json,OK,3,18,528,1255,0.14492358302231878,
l,instance_44.json,data/orders_instances/test/l/instance_44.json,OK,3,18,329,458,0.17898395902011544,
l,instance_45.json,data/orders_instances/test/l/instance_45.json,OK,3,12,319,528,0.11784370802342892,
l,instance_46.json,data/orders_instances/test/l/instance_46.json,OK,3,12,472,577,0.1429970419849269,
l,instance_47.json,data/orders_instances/test/l/instance_47.json,OK,3,12,480,882,0.15844574995571747,
l,instance_48.json,data/orders_instances/test/l/instance_48.json,OK,3,15,268,246,0.10645666701020673,
l,instance_49.json,data/orders_instances/test/l/instance_49.json,OK,3,12,335,380,0.08970454201335087,
l,instance_5.json,data/orders_instances/test/l/instance_5.json,OK,3,18,373,680,0.14466025005094707,
l,instance_50.json,data/orders_instances/test/l/instance_50.json,OK,3,18,447,692,0.22013620799407363,
l,instance_6.json,data/orders_instances/test/l/instance_6.json,OK,3,12,485,762,0.12209995900047943,
l,instance_7.json,data/orders_instances/test/l/instance_7.json,OK,3,12,375,461,0.12265704100718722,
l,instance_8.json,data/orders_instances/test/l/instance_8.json,OK,3,12,377,803,0.17857295798603445,
l,instance_9.json,data/orders_instances/test/l/instance_9.json,OK,3,15,398,573,0.14028904197039083,
xl,instance_1.json,data/orders_instances/test/xl/instance_1.json,OK,4,28,647,1619,0.8196819999720901,
xl,instance_10.json,data/orders_instances/test/xl/instance_10.json,OK,4,28,499,1051,0.32253054197644815,
xl,instance_11.json,data/orders_instances/test/xl/instance_11.json,OK,4,36,566,1647,1.185181749984622,
xl,instance_12.json,data/orders_instances/test/xl/instance_12.json,OK,4,28,705,2232,0.7067469999892637,
xl,instance_13.json,data/orders_instances/test/xl/instance_13.json,OK,4,24,615,1089,0.2590217090328224,
xl,instance_14.json,data/orders_instances/test/xl/instance_14.json,OK,4,28,502,1188,0.34547629102598876,
xl,instance_15.json,data/orders_instances/test/xl/instance_15.json,OK,4,28,612,1343,0.45774695801083,
xl,instance_16.json,data/orders_instances/test/xl/instance_16.json,OK,4,32,529,1180,0.3209347079973668,
xl,instance_17.json,data/orders_instances/test/xl/instance_17.json,OK,4,36,526,1428,0.8925520830089226,
xl,instance_18.json,data/orders_instances/test/xl/instance_18.json,OK,4,32,681,1975,0.4980263339821249,
xl,instance_19.json,data/orders_instances/test/xl/instance_19.json,OK,4,36,629,1669,0.5481621670187451,
xl,instance_2.json,data/orders_instances/test/xl/instance_2.json,OK,4,32,395,581,0.24916062504053116,
xl,instance_20.json,data/orders_instances/test/xl/instance_20.json,OK,4,32,588,1499,0.4232141670072451,
xl,instance_21.json,data/orders_instances/test/xl/instance_21.json,OK,4,36,496,1257,0.4476290420279838,
xl,instance_22.json,data/orders_instances/test/xl/instance_22.json,OK,4,40,660,1772,0.638269749993924,
xl,instance_23.json,data/orders_instances/test/xl/instance_23.json,OK,4,28,647,1878,0.738265499996487,
xl,instance_24.json,data/orders_instances/test/xl/instance_24.json,OK,4,36,579,1738,0.5710895000374876,
xl,instance_25.json,data/orders_instances/test/xl/instance_25.json,OK,4,36,556,1310,0.3490359589923173,
xl,instance_26.json,data/orders_instances/test/xl/instance_26.json,OK,4,36,695,1729,0.5114606250426732,
xl,instance_27.json,data/orders_instances/test/xl/instance_27.json,OK,4,24,533,1256,0.5103276249719784,
xl,instance_28.json,data/orders_instances/test/xl/instance_28.json,OK,4,28,530,1289,0.43050591700011864,
xl,instance_29.json,data/orders_instances/test/xl/instance_29.json,OK,4,40,864,2695,1.055315374978818,
xl,instance_3.json,data/orders_instances/test/xl/instance_3.json,OK,4,28,871,2626,1.4231857079430483,
xl,instance_30.json,data/orders_instances/test/xl/instance_30.json,OK,4,36,590,1520,0.533221332996618,
xl,instance_31.json,data/orders_instances/test/xl/instance_31.json,OK,4,40,525,1416,0.44641174998832867,
xl,instance_32.json,data/orders_instances/test/xl/instance_32.json,OK,4,36,592,1781,0.49999779200879857,
xl,instance_33.json,data/orders_instances/test/xl/instance_33.json,OK,4,24,557,999,0.3989522500196472,
xl,instance_34.json,data/orders_instances/test/xl/instance_34.json,OK,4,36,560,1230,0.42096420901361853,
xl,instance_35.json,data/orders_instances/test/xl/instance_35.json,OK,4,24,541,859,0.2164307499770075,
xl,instance_36.json,data/orders_instances/test/xl/instance_36.json,OK,4,36,444,725,0.3793008340289816,
xl,instance_37.json,data/orders_instances/test/xl/instance_37.json,OK,4,36,697,2192,0.6540283340145834,
xl,instance_38.json,data/orders_instances/test/xl/instance_38.json,OK,4,28,513,1059,0.36590183299267665,
xl,instance_39.json,data/orders_instances/test/xl/instance_39.json,OK,4,24,324,371,0.1409532080288045,
xl,instance_4.json,data/orders_instances/test/xl/instance_4.json,OK,4,24,490,675,0.2133064580266364,
xl,instance_40.json,data/orders_instances/test/xl/instance_40.json,OK,4,24,673,1382,0.2602349999942817,
xl,instance_41.json,data/orders_instances/test/xl/instance_41.json,OK,4,24,400,563,0.1574125419720076,
xl,instance_42.json,data/orders_instances/test/xl/instance_42.json,OK,4,24,507,834,0.39516291598556563,
xl,instance_43.json,data/orders_instances/test/xl/instance_43.json,OK,4,32,521,1103,0.43446525000035763,
xl,instance_44.json,data/orders_instances/test/xl/instance_44.json,OK,4,24,400,796,0.18563745898427442,
xl,instance_45.json,data/orders_instances/test/xl/instance_45.json,OK,4,36,595,1557,0.4953670830000192,
xl,instance_46.json,data/orders_instances/test/xl/instance_46.json,OK,4,36,609,1824,0.6234866669983603,
xl,instance_47.json,data/orders_instances/test/xl/instance_47.json,OK,4,32,549,1205,0.7117347500170581,
xl,instance_48.json,data/orders_instances/test/xl/instance_48.json,OK,4,32,505,1314,0.31225970800733194,
xl,instance_49.json,data/orders_instances/test/xl/instance_49.json,OK,4,24,497,894,0.2810062909848057,
xl,instance_5.json,data/orders_instances/test/xl/instance_5.json,OK,4,28,615,1162,0.5181557500036433,
xl,instance_50.json,data/orders_instances/test/xl/instance_50.json,OK,4,40,612,1711,0.5688167919870466,
xl,instance_51.json,data/orders_instances/test/xl/instance_51.json,OK,18,200,7349,31562,94.28323850000743,
xl,instance_6.json,data/orders_instances/test/xl/instance_6.json,OK,4,40,883,4071,2.1989728750195354,
xl,instance_7.json,data/orders_instances/test/xl/instance_7.json,OK,4,28,604,1321,0.3183981250040233,
xl,instance_8.json,data/orders_instances/test/xl/instance_8.json,OK,4,40,598,1746,0.5738254159805365,
xl,instance_9.json,data/orders_instances/test/xl/instance_9.json,OK,4,24,540,1557,0.923397374979686,
